id	file	title	date	place	medium	dimensions	width	height	photographer
4072	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0002.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4073	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0003.tif	Flug über Dolomiten mit der Lockheed Orion (CH-168)	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4074	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0004.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4075	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0005.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4076	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0006.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4077	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0007.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4078	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0008.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4079	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0009.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4080	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0010.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4081	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0011.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4082	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0012.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
