id	fle	w	c	o	tot
363	File:ETH-BIB-Aarwangen, Mumenthal aus 2000 m-Inlandflüge-LBS MH01-003258.tif	0	1	0	1
364	File:ETH-BIB-Aarwangen, Mummental aus 400 m-Inlandflüge-LBS MH01-002990.tif	0	1	0	1
365	File:ETH-BIB-Aarwangen, Schwarzhäusern aus 400 m-Inlandflüge-LBS MH01-002991.tif	0	1	0	1
366	File:ETH-BIB-Aarwangen, Übersicht-Inlandflüge-LBS MH01-006874.tif	0	1	0	1
378	File:ETH-BIB-Aathal bei Wetzikon, Spinnerei Floos-Inlandflüge-LBS MH03-0023.tif	0	1	0	1
379	File:ETH-BIB-Aathal bei Wetzikon, Spinnerei Floos-Inlandflüge-LBS MH03-1037.tif	0	1	0	1
381	File:ETH-BIB-Aathal Seegräben v. S. aus 300 m-Inlandflüge-LBS MH01-001432.tif	0	1	0	1
383	File:ETH-BIB-Aathal Seegräben-LBS H1-019808.tif	0	1	0	1
384	File:ETH-BIB-Aathal Seegräben-LBS H1-019809.tif	0	1	0	1
382	File:ETH-BIB-Aathal Seegräben, Pfäffikon, Pfäffikersee-Inlandflüge-LBS MH01-000429.tif	1	1	0	2
385	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1560.tif	0	1	0	1
386	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1578.tif	0	1	0	1
387	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1608.tif	0	1	0	1
388	File:ETH-BIB-Aathal, Spinnerei Unteraathal-Inlandflüge-LBS MH03-1568.tif	0	1	0	1
389	File:ETH-BIB-Aathal, Spinnereien-Inlandflüge-LBS MH03-1565.tif	1	1	0	2
390	File:ETH-BIB-Abadeh aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0170-AL-FL.tif	0	1	0	1
391	File:ETH-BIB-Abbévillers, Blick aus Südosten (SE)-LBS H1-013551.tif	0	1	0	1
392	File:ETH-BIB-Abendstimmung am Cap Juby-Tschadseeflug 1930-31-LBS MH02-08-1052.tif	1	0	0	1
48939	File:ETH-BIB-Äbeni Flue, Blick nach Südosten, Dreieckhorn-LBS H1-012846.tif	3	1	0	4
48940	File:ETH-BIB-Äbeni Flue, Gletscherhorn v. N. W. aus 3800 m-Inlandflüge-LBS MH01-006215.tif	0	1	0	1
48941	File:ETH-BIB-Äbeni Flue, Mittaghorn, Lauterbrunner Breithorn, Tschingelhorn, Balmhorn, Aufnahme Richtung Südwesten-Inlandflüge-LBS MH01-008244.tif	0	1	0	1
48942	File:ETH-BIB-Äbeniflue, Jungfrau, Mönch v. S. aus 5000 m-Inlandflüge-LBS MH01-006477.tif	0	1	0	1
412	File:ETH-BIB-Abessinier mit Messer in der Hand-Abessinienflug 1934-LBS MH02-22-1118.tif	1	0	0	1
507	File:ETH-BIB-Abfall der Qasviner Hochebene beim Manjil-Pass zum Kaspischen Meer aus 4000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0116-AL-FL.tif	1	1	0	2
509	File:ETH-BIB-Abfertigung der Lockheed 9 B Orion, CH-168 (HB-LAJ) in Dübendorf-Inlandflüge-LBS MH05-30-05.tif	0	1	0	1
510	File:ETH-BIB-Abfertigung der Lockheed 9 B Orion, CH-168 (HB-LAJ) in Dübendorf-Inlandflüge-LBS MH05-30-06.tif	0	1	0	1
511	File:ETH-BIB-Abfertigung der Lockheed 9 B Orion, CH-168 (HB-LAJ) in Dübendorf-Inlandflüge-LBS MH05-30-07.tif	0	1	0	1
519	File:ETH-BIB-Abtwil aus 400m-Inlandflüge-LBS MH01-003662.tif	0	1	0	1
521	File:ETH-BIB-Abtwil-LBS H1-024285.tif	0	1	0	1
520	File:ETH-BIB-Abtwil, Evangelische Erziehungsanstalt Langhalde-Inlandflüge-LBS MH03-1149.tif	1	1	0	2
525	File:ETH-BIB-Achensee-LBS H1-020329.tif	0	1	0	1
533	File:ETH-BIB-Acquarossa-LBS H1-016306.tif	0	1	0	1
534	File:ETH-BIB-Acquarossa-LBS H1-016308.tif	0	1	0	1
535	File:ETH-BIB-Acquarossa-LBS H1-016311.tif	0	1	0	1
536	File:ETH-BIB-Acquarossa-LBS H1-016312.tif	0	1	0	1
528	File:ETH-BIB-Acquarossa, Castro, Valentino-LBS H1-016305.tif	0	1	0	1
529	File:ETH-BIB-Acquarossa, Castro, Valentino-LBS H1-016310.tif	0	1	0	1
532	File:ETH-BIB-Acquarossa, Spital-LBS H1-016307.tif	0	1	0	1
545	File:ETH-BIB-Adelboden-LBS H1-011310.tif	0	1	0	1
546	File:ETH-BIB-Adelboden-LBS H1-011311.tif	0	1	0	1
543	File:ETH-BIB-Adelboden, Hotel Hahnenmoos-LBS H1-011312.tif	0	1	0	1
554	File:ETH-BIB-Adetswil-LBS H1-010909.tif	0	1	0	1
555	File:ETH-BIB-Adetswil-LBS H1-019814.tif	1	1	0	2
556	File:ETH-BIB-Adetswil-LBS H1-019815.tif	0	1	0	1
548	File:ETH-BIB-Adetswil, Heilpädagogisches Institut St. Michael-LBS H1-010910.tif	0	1	0	1
549	File:ETH-BIB-Adetswil, Heilpädagogisches Institut St. Michael-LBS H1-010911.tif	0	1	0	1
550	File:ETH-BIB-Adetswil, Heilpädagogisches Institut St. Michael-LBS H1-013899.tif	0	1	0	1
